,,object_color,object_name,placement,undefined_object,micro avg,macro avg,weighted avg,pipeline,split
2,f1-score,0.977011494252873,0.9666666666666661,0.992805755395683,1.0,0.9787234042553191,0.984120979078805,0.9788040976396181,mitie,50
3,precision,0.936170212765957,0.9239130434782601,0.972972972972973,0.9090909090909091,0.9409594095940961,0.935536784577025,0.940914726642406,mitie,50
3,recall,1.0,1.0,1.0,0.7142857142857141,0.984555984555984,0.928571428571428,0.984555984555984,mitie,50
3,f1-score,0.967032967032967,0.96045197740113,0.9863013698630131,0.8,0.9622641509433961,0.928446578574277,0.961200840958046,mitie,50
1,precision,0.8,0.9638554216867471,0.9130434782608691,0.8888888888888881,0.881918819188191,0.8914469472091261,0.8894801740857771,mitie,60
1,recall,1.0,0.9302325581395341,1.0,0.7272727272727271,0.9637096774193541,0.9143763213530651,0.9637096774193541,mitie,60
1,f1-score,0.8888888888888891,0.946745562130177,0.954545454545454,0.799999999999999,0.9210019267822731,0.8975449763911301,0.9216883233942781,mitie,60
2,precision,0.9166666666666661,0.752136752136752,0.9857142857142851,1.0,0.864963503649635,0.9136294261294261,0.882358214838529,mitie,60
2,recall,0.905882352941176,1.0,1.0,0.25,0.9330708661417321,0.7889705882352941,0.9330708661417321,mitie,60
2,f1-score,0.9112426035502951,0.8585365853658531,0.992805755395683,0.4,0.897727272727272,0.790646236077958,0.8909859761270561,mitie,60
3,precision,0.87,0.8762886597938141,0.972972972972973,0.9090909090909091,0.9007092198581561,0.907088135464424,0.9028025593196951,mitie,60
3,recall,0.9886363636363631,1.0,1.0,0.7142857142857141,0.9806949806949801,0.9257305194805191,0.9806949806949801,mitie,60
3,f1-score,0.9255319148936171,0.9340659340659341,0.9863013698630131,0.8,0.939001848428835,0.911474804705641,0.938440585082546,mitie,60
1,precision,0.565217391304347,0.5546875,0.7974683544303791,0.33333333333333304,0.6153846153846151,0.5626766447670151,0.6102799533490451,mitie,70
1,recall,0.7386363636363631,0.825581395348837,1.0,0.09090909090909001,0.8064516129032251,0.6637817124735731,0.8064516129032251,mitie,70
1,f1-score,0.6403940886699501,0.6635514018691581,0.8873239436619711,0.14285714285714202,0.698080279232111,0.5835316442645561,0.689084424942887,mitie,70
2,precision,0.49673202614379003,0.7222222222222221,0.871794871794871,0.6000000000000001,0.6540697674418601,0.672687280040221,0.6816205666599361,mitie,70
2,recall,0.894117647058823,0.886363636363636,0.9855072463768111,0.25,0.8858267716535431,0.753997132449817,0.8858267716535431,mitie,70
2,f1-score,0.638655462184874,0.7959183673469381,0.92517006802721,0.35294117647058804,0.7525083612040131,0.6781712685074031,0.7574746434006671,mitie,70
