,,move,none,show,pick up,greetings,affirmative,clarify,bye,deny,find,macro avg,weighted avg,pipeline,split
2,precision,0.9523809523809521,0.923076923076923,1.0,0.826086956521739,0.636363636363636,1.0,1.0,0.875,0.9047619047619041,0.9444444444444441,0.90621148175496,0.9262775735019521,custom,20
2,recall,1.0,0.923076923076923,0.9500000000000001,0.9500000000000001,0.875,0.7894736842105261,0.9500000000000001,0.777777777777777,1.0,0.85,0.9065328385065221,0.9166666666666661,custom,20
2,f1-score,0.9756097560975611,0.923076923076923,0.9743589743589741,0.883720930232558,0.7368421052631571,0.8823529411764701,0.9743589743589741,0.8235294117647061,0.9500000000000001,0.894736842105263,0.9018586858434581,0.9177197438893281,custom,20
3,precision,1.0,0.9090909090909091,1.0,0.842105263157894,0.636363636363636,0.894736842105263,1.0,0.875,0.894736842105263,0.7826086956521741,0.883464218847514,0.9004664886029301,custom,20
3,recall,0.9,0.769230769230769,1.0,0.8,0.875,0.894736842105263,1.0,0.777777777777777,0.894736842105263,0.9,0.8811482231219071,0.892857142857142,custom,20
3,f1-score,0.9473684210526311,0.833333333333333,1.0,0.82051282051282,0.7368421052631571,0.894736842105263,1.0,0.8235294117647061,0.894736842105263,0.8372093023255811,0.878826907846275,0.894295510471081,custom,20
1,precision,1.0,0.7272727272727271,1.0,0.8636363636363631,0.583333333333333,0.772727272727272,1.0,1.0,0.9444444444444441,0.8636363636363631,0.8755050505050501,0.8946007696007691,custom,30
1,recall,0.9,0.6153846153846151,0.9500000000000001,0.9500000000000001,0.875,0.894736842105263,0.9,0.6666666666666661,0.894736842105263,0.9500000000000001,0.85965249662618,0.88095238095238,custom,30
1,f1-score,0.9473684210526311,0.6666666666666661,0.9743589743589741,0.9047619047619041,0.7000000000000001,0.829268292682926,0.9473684210526311,0.8,0.9189189189189191,0.9047619047619041,0.859347350425655,0.882467953612277,custom,30
2,precision,0.9523809523809521,0.8571428571428571,0.9500000000000001,0.9,0.636363636363636,1.0,1.0,1.0,0.8571428571428571,0.9,0.90530303030303,0.9200422593279731,custom,30
2,recall,1.0,0.923076923076923,0.9500000000000001,0.9,0.875,0.7894736842105261,0.9500000000000001,0.777777777777777,0.9473684210526311,0.9,0.901269680611785,0.910714285714285,custom,30
