,,affirmative,none,deny,show,find,bye,greetings,move,clarify,pick up,macro avg,weighted avg,pipeline,split
1,precision,0.642857142857142,0.43902439024390205,0.636363636363636,0.902439024390243,0.7931034482758621,1.0,0.769230769230769,0.7826086956521741,0.7352941176470581,0.701612903225806,0.7402534127886591,0.7328525468339261,custom,70
1,recall,0.42857142857142805,0.620689655172413,0.65625,0.6981132075471691,0.657142857142857,0.7272727272727271,0.7142857142857141,0.486486486486486,0.757575757575757,0.91578947368421,0.666217730773876,0.711111111111111,custom,70
1,f1-score,0.514285714285714,0.514285714285714,0.6461538461538461,0.7872340425531911,0.7187500000000001,0.842105263157894,0.74074074074074,0.6000000000000001,0.7462686567164181,0.7945205479452051,0.690434452583872,0.708918636216865,custom,70
2,precision,0.8,0.4,0.833333333333333,0.7368421052631571,0.6153846153846151,1.0,0.833333333333333,0.818181818181818,0.8620689655172411,0.7314814814814811,0.763062565249498,0.740378250906331,custom,70
2,recall,0.7619047619047611,0.344827586206896,0.7812500000000001,0.7924528301886791,0.685714285714285,0.636363636363636,0.7142857142857141,0.729729729729729,0.757575757575757,0.8315789473684211,0.7035683249337881,0.736111111111111,custom,70
2,f1-score,0.780487804878048,0.37037037037037,0.8064516129032251,0.7636363636363631,0.648648648648648,0.777777777777777,0.769230769230769,0.771428571428571,0.8064516129032251,0.7783251231527091,0.7272808654929711,0.7348174989568611,custom,70
3,precision,1.0,0.44444444444444403,0.846153846153846,0.777777777777777,0.7368421052631571,1.0,0.75,0.818181818181818,0.729729729729729,0.636363636363636,0.7739493357914411,0.734127393557218,custom,70
3,recall,0.6190476190476191,0.413793103448275,0.6875,0.7924528301886791,0.4,0.636363636363636,0.642857142857142,0.729729729729729,0.818181818181818,0.8842105263157891,0.662413640613269,0.713888888888888,custom,70
3,f1-score,0.764705882352941,0.42857142857142805,0.758620689655172,0.785046728971962,0.518518518518518,0.777777777777777,0.6923076923076921,0.771428571428571,0.771428571428571,0.740088105726872,0.7008493966739501,0.708541986395908,custom,70
1,precision,0.7333333333333331,0.518518518518518,0.756756756756756,0.833333333333333,0.8684210526315791,0.7272727272727271,0.875,0.7272727272727271,0.8,0.8229166666666661,0.7662825115785641,0.780418975012359,mitie,0
1,recall,0.5238095238095231,0.482758620689655,0.875,0.849056603773584,0.9428571428571421,0.7272727272727271,0.5,0.864864864864864,0.7272727272727271,0.8315789473684211,0.7324471157908641,0.7805555555555551,mitie,0
1,f1-score,0.611111111111111,0.5,0.8115942028985501,0.8411214953271021,0.9041095890410961,0.7272727272727271,0.636363636363636,0.7901234567901231,0.7619047619047621,0.8272251308900521,0.741082611159916,0.7761125724516641,mitie,0
2,precision,0.777777777777777,0.521739130434782,0.8108108108108101,0.8363636363636361,0.875,0.7272727272727271,0.642857142857142,0.8235294117647051,0.846153846153846,0.7818181818181811,0.764332266525361,0.783412164500719,mitie,0
2,recall,0.6666666666666661,0.413793103448275,0.9375,0.867924528301886,0.8,0.7272727272727271,0.642857142857142,0.756756756756756,0.6666666666666661,0.9052631578947361,0.7384700749864861,0.7861111111111111,mitie,0
