,,object_color,placement,object_name,micro avg,macro avg,weighted avg,pipeline,split
1,f1-score,0.9541284403669721,0.9493670886075951,0.9604863221884491,0.957130358705161,0.954660617054339,0.9571274447602781,custom,50
2,precision,0.9871794871794871,1.0,0.923076923076923,0.9534450651769081,0.9700854700854701,0.9546039462396341,custom,50
2,recall,0.9685534591194961,0.9318181818181811,0.9484536082474221,0.9516728624535311,0.9496084163950331,0.9516728624535311,custom,50
2,f1-score,0.9777777777777771,0.9647058823529411,0.9355932203389831,0.9525581395348831,0.9593589601565671,0.9528223260824711,custom,50
3,precision,0.9602649006622511,0.9325842696629211,0.921921921921921,0.933682373472949,0.9382570307490311,0.9340584810497861,custom,50
3,recall,0.9602649006622511,0.9120879120879121,0.974603174603174,0.9605026929982041,0.9489853291177791,0.9605026929982041,custom,50
3,f1-score,0.9602649006622511,0.922222222222222,0.9475308641975311,0.9469026548672561,0.9433393290273351,0.9468481946937961,custom,50
1,precision,0.9612903225806451,0.939024390243902,0.9375,0.9443447037701971,0.9459382376081821,0.9443825345405591,custom,70
1,recall,0.93125,0.9506172839506171,0.9090909090909091,0.9211908931698771,0.9303193976805081,0.9211908931698771,custom,70
1,f1-score,0.9460317460317461,0.9447852760736191,0.923076923076923,0.932624113475177,0.9379646483940961,0.932588566273952,custom,70
2,precision,0.9687500000000001,0.9743589743589741,0.912408759124087,0.9394531250000001,0.9518392444943541,0.9391929157039021,custom,70
2,recall,0.974842767295597,0.8636363636363631,0.859106529209621,0.894052044609665,0.8991952200471941,0.894052044609665,custom,70
2,f1-score,0.9717868338557991,0.915662650602409,0.8849557522123891,0.9161904761904761,0.9241350788901991,0.915640415854813,custom,70
3,precision,0.9530201342281871,0.8901098901098901,0.901840490797546,0.9134275618374551,0.914990171711874,0.9137985545236681,custom,70
3,recall,0.9403973509933771,0.8901098901098901,0.9333333333333331,0.92818671454219,0.9212801914788661,0.92818671454219,custom,70
3,f1-score,0.9466666666666661,0.8901098901098901,0.9173166926677061,0.9207479964381121,0.9180310831480871,0.9208284108743161,custom,70
1,precision,0.9183673469387751,0.9302325581395341,0.910505836575875,0.9163265306122441,0.9197019138847281,0.916144343449079,mitie,0
1,recall,0.9926470588235291,0.9638554216867471,0.896551724137931,0.9354166666666661,0.951018068216069,0.9354166666666661,mitie,0
1,f1-score,0.954063604240282,0.946745562130177,0.9034749034749031,0.925773195876288,0.934761356615121,0.925290586750902,mitie,0
2,precision,0.96,0.9571428571428571,0.9087452471482891,0.93167701863354,0.9419627014303821,0.93254091385668,mitie,0
2,recall,0.993103448275862,0.8481012658227841,0.959839357429718,0.9513742071881601,0.9336813571761211,0.9513742071881601,mitie,0
2,f1-score,0.9762711864406781,0.899328859060402,0.9335937499999991,0.941422594142259,0.936397931833693,0.940953796299513,mitie,0
3,precision,0.9363057324840761,0.9400000000000001,0.922779922779922,0.9302325581395341,0.933028551754666,0.930114050143072,mitie,0
3,recall,0.9932432432432431,0.9894736842105261,0.9446640316205531,0.9677419354838711,0.975793653024774,0.9677419354838711,mitie,0
3,f1-score,0.9639344262295081,0.9641025641025641,0.93359375,0.948616600790513,0.953876913444024,0.9484904383502231,mitie,0
1,precision,0.937931034482758,0.9523809523809521,0.9007352941176471,0.9201596806387221,0.930349093660452,0.9202044822957911,mitie,10
1,recall,1.0,0.9638554216867471,0.9386973180076621,0.960416666666666,0.967517579898136,0.960416666666666,mitie,10
1,f1-score,0.9679715302491101,0.9580838323353291,0.9193245778611631,0.939857288481141,0.948459980148534,0.9398100021239061,mitie,10
2,precision,0.9337748344370861,0.9436619718309851,0.8613138686131381,0.8951612903225801,0.9129168916270701,0.897280761210775,mitie,10
