,,find,none,affirmative,greetings,move,clarify,bye,deny,show,pick up,macro avg,weighted avg,pipeline,split
2,f1-score,0.9090909090909091,0.7741935483870961,0.8636363636363631,0.8888888888888881,0.892307692307692,0.918032786885245,0.769230769230769,0.842105263157894,0.9333333333333331,0.846153846153846,0.8636973401072041,0.8740005348369391,custom,30
3,precision,0.928571428571428,0.636363636363636,0.7142857142857141,1.0,0.884615384615384,0.9642857142857141,0.625,0.7272727272727271,1.0,0.6875,0.8167894605394601,0.8277756906958581,custom,30
3,recall,0.928571428571428,0.8235294117647051,0.7142857142857141,0.8888888888888881,0.7187500000000001,0.9310344827586201,0.45454545454545403,0.8,0.8709677419354831,0.8250000000000001,0.795557312275029,0.8151260504201681,custom,30
3,f1-score,0.928571428571428,0.7179487179487181,0.7142857142857141,0.9411764705882351,0.7931034482758621,0.9473684210526311,0.5263157894736841,0.7619047619047621,0.9310344827586201,0.75,0.8011709234859651,0.816883818838652,custom,30
1,precision,0.8125,0.5882352941176471,0.8,0.75,0.9615384615384611,0.8709677419354831,0.9090909090909091,0.772727272727272,0.96551724137931,0.833333333333333,0.8263910254122411,0.8447319687226771,custom,50
1,recall,0.928571428571428,0.5882352941176471,0.7619047619047611,0.6666666666666661,0.7812500000000001,0.9310344827586201,0.9090909090909091,0.85,0.9032258064516121,0.875,0.8194979349561641,0.8403361344537811,custom,50
1,f1-score,0.866666666666666,0.5882352941176471,0.780487804878048,0.7058823529411761,0.8620689655172411,0.9,0.9090909090909091,0.8095238095238091,0.9333333333333331,0.8536585365853651,0.8208947672654191,0.8401941581065211,custom,50
2,precision,0.8620689655172411,0.555555555555555,0.9473684210526311,1.0,0.8125,0.8484848484848481,0.75,0.842105263157894,1.0,0.6888888888888881,0.8306971942657061,0.826600141789103,custom,50
2,recall,0.892857142857142,0.5882352941176471,0.8571428571428571,0.6666666666666661,0.8125,0.96551724137931,0.818181818181818,0.8,0.8064516129032251,0.775,0.7982552633248661,0.8151260504201681,custom,50
2,f1-score,0.8771929824561401,0.5714285714285711,0.9,0.8,0.8125,0.9032258064516121,0.7826086956521731,0.82051282051282,0.892857142857142,0.7294117647058821,0.808973778406434,0.8169883684428211,custom,50
3,precision,0.7741935483870961,0.5,0.652173913043478,1.0,0.923076923076923,0.962962962962962,1.0,0.620689655172413,0.9642857142857141,0.6818181818181811,0.8079200898746771,0.802171581983915,custom,50
3,recall,0.8571428571428571,0.47058823529411703,0.7142857142857141,1.0,0.75,0.896551724137931,0.45454545454545403,0.9,0.8709677419354831,0.75,0.7664081727341551,0.781512605042016,custom,50
3,f1-score,0.813559322033898,0.48484848484848403,0.6818181818181811,1.0,0.827586206896551,0.928571428571428,0.625,0.73469387755102,0.915254237288135,0.7142857142857141,0.7725617453293411,0.7826251453999891,custom,50
1,precision,0.5666666666666661,0.375,0.55,0.8571428571428571,0.92,0.7931034482758621,0.9090909090909091,0.68,0.8,0.621621621621621,0.707262550279791,0.7025664590160381,custom,70
1,recall,0.6071428571428571,0.529411764705882,0.5238095238095231,0.6666666666666661,0.7187500000000001,0.7931034482758621,0.9090909090909091,0.85,0.7741935483870961,0.5750000000000001,0.694716871807879,0.684873949579831,custom,70
1,f1-score,0.5862068965517241,0.43902439024390205,0.536585365853658,0.75,0.8070175438596491,0.7931034482758621,0.9090909090909091,0.7555555555555551,0.7868852459016391,0.597402597402597,0.696087195273549,0.689582854849563,custom,70
2,precision,0.928571428571428,0.4,0.8888888888888881,0.33333333333333304,0.866666666666666,0.7419354838709671,0.0,0.45833333333333304,0.8695652173913041,0.5666666666666661,0.605396101872258,0.682798252540848,custom,70
2,recall,0.464285714285714,0.8235294117647051,0.7619047619047611,0.11111111111111101,0.8125,0.7931034482758621,0.0,0.55,0.6451612903225801,0.85,0.5811595737664731,0.663865546218487,custom,70
2,f1-score,0.6190476190476191,0.538461538461538,0.82051282051282,0.16666666666666602,0.8387096774193541,0.766666666666666,0.0,0.5,0.74074074074074,0.68,0.56708057295154,0.648961994502791,custom,70
3,precision,0.7000000000000001,0.35714285714285704,0.6071428571428571,0.777777777777777,0.842105263157894,0.892857142857142,0.833333333333333,0.5,0.892857142857142,0.45161290322580605,0.685482927749481,0.6855941527714651,custom,70
3,recall,0.5,0.29411764705882304,0.8095238095238091,0.777777777777777,0.5,0.8620689655172411,0.45454545454545403,0.6000000000000001,0.8064516129032251,0.7000000000000001,0.6304485267326331,0.647058823529411,custom,70
3,f1-score,0.583333333333333,0.32258064516129004,0.693877551020408,0.777777777777777,0.6274509803921561,0.8771929824561401,0.5882352941176471,0.5454545454545451,0.847457627118643,0.5490196078431371,0.641238034467508,0.6492323976263421,custom,70
1,precision,0.8888888888888881,0.583333333333333,0.9411764705882351,0.625,0.833333333333333,0.8387096774193541,1.0,0.9,0.9666666666666661,0.8235294117647051,0.8400637781994511,0.854468432715856,mitie,0
1,recall,0.8571428571428571,0.875,0.7619047619047611,0.555555555555555,0.9375,0.896551724137931,0.9090909090909091,0.9,0.9354838709677411,0.7000000000000001,0.8328229678799751,0.8438818565400841,mitie,0
1,f1-score,0.872727272727272,0.7000000000000001,0.842105263157894,0.5882352941176471,0.8823529411764701,0.866666666666666,0.9523809523809521,0.9,0.950819672131147,0.756756756756756,0.8312044819114801,0.8447476364693881,mitie,0
2,precision,0.827586206896551,0.5714285714285711,0.866666666666666,0.636363636363636,0.9032258064516121,0.892857142857142,1.0,0.9090909090909091,0.8437500000000001,0.74,0.8190968939755091,0.826905885208271,mitie,0
2,recall,0.8571428571428571,0.5,0.6190476190476191,0.777777777777777,0.875,0.8620689655172411,0.45454545454545403,1.0,0.8709677419354831,0.925,0.7741550415966431,0.8185654008438811,mitie,0
2,f1-score,0.842105263157894,0.533333333333333,0.7222222222222221,0.7000000000000001,0.8888888888888881,0.8771929824561401,0.625,0.9523809523809521,0.8571428571428571,0.8222222222222221,0.782048872180451,0.813691665873544,mitie,0
3,precision,0.846153846153846,0.6875,0.9047619047619041,0.6666666666666661,0.769230769230769,0.7741935483870961,0.8,0.9444444444444441,0.9,0.729729729729729,0.8022680909374451,0.808174613033739,mitie,0
3,recall,0.785714285714285,0.6875,0.9047619047619041,0.6666666666666661,0.9375,0.827586206896551,0.7272727272727271,0.85,0.8709677419354831,0.675,0.793296953324761,0.8059071729957801,mitie,0
3,f1-score,0.8148148148148141,0.6875,0.9047619047619041,0.6666666666666661,0.845070422535211,0.799999999999999,0.7619047619047621,0.894736842105263,0.885245901639344,0.7012987012987011,0.796200001572666,0.805178601526442,mitie,0
1,precision,0.8571428571428571,0.636363636363636,0.8823529411764701,0.833333333333333,0.8285714285714281,0.827586206896551,0.875,0.8695652173913041,0.833333333333333,0.8484848484848481,0.829173380269376,0.8333947142673541,mitie,10
1,recall,0.8571428571428571,0.875,0.7142857142857141,0.555555555555555,0.9062500000000001,0.827586206896551,0.636363636363636,1.0,0.9677419354838711,0.7000000000000001,0.803992590572818,0.827004219409282,mitie,10
1,f1-score,0.8571428571428571,0.7368421052631571,0.7894736842105261,0.6666666666666661,0.865671641791044,0.827586206896551,0.7368421052631571,0.9302325581395341,0.8955223880597011,0.7671232876712321,0.807310350110443,0.8237382001997061,mitie,10
2,precision,0.8064516129032251,0.6000000000000001,0.923076923076923,0.7000000000000001,0.875,0.925925925925925,1.0,0.826086956521739,0.8620689655172411,0.725490196078431,0.824410058002348,0.8269307903053331,mitie,10
2,recall,0.892857142857142,0.5625,0.5714285714285711,0.777777777777777,0.875,0.8620689655172411,0.5454545454545451,0.9500000000000001,0.8064516129032251,0.925,0.7768538615938501,0.814345991561181,mitie,10
2,f1-score,0.847457627118643,0.5806451612903221,0.7058823529411761,0.7368421052631571,0.875,0.892857142857142,0.7058823529411761,0.883720930232558,0.833333333333333,0.8131868131868131,0.7874807819164321,0.810831358606613,mitie,10
3,precision,0.807692307692307,0.642857142857142,0.8,0.6666666666666661,0.75,0.696969696969697,0.7272727272727271,0.8571428571428571,0.9,0.75,0.759860139860139,0.771966570700747,mitie,10
3,recall,0.75,0.5625,0.7619047619047611,0.44444444444444403,0.9375,0.7931034482758621,0.7272727272727271,0.9,0.8709677419354831,0.675,0.742269312383328,0.7721518987341771,mitie,10
3,f1-score,0.777777777777777,0.6000000000000001,0.780487804878048,0.533333333333333,0.833333333333333,0.7419354838709671,0.7272727272727271,0.8780487804878041,0.885245901639344,0.710526315789473,0.746796145838281,0.768672863170026,mitie,10
1,precision,0.696969696969697,0.565217391304347,0.8125,0.8571428571428571,0.756756756756756,0.75,1.0,0.7894736842105261,0.833333333333333,0.7741935483870961,0.783558726810461,0.771696964808231,mitie,30
1,recall,0.8214285714285711,0.8125,0.6190476190476191,0.6666666666666661,0.875,0.7241379310344821,0.636363636363636,0.75,0.9677419354838711,0.6000000000000001,0.7472886360024841,0.7594936708860761,mitie,30
1,f1-score,0.7540983606557371,0.6666666666666661,0.7027027027027021,0.75,0.8115942028985501,0.7368421052631581,0.777777777777777,0.769230769230769,0.8955223880597011,0.676056338028169,0.7540491311283231,0.7568406394865721,mitie,30
2,precision,0.8,0.6000000000000001,0.8,0.8571428571428571,0.75,0.8,1.0,0.7307692307692301,0.8148148148148141,0.622641509433962,0.777536841216086,0.7573611390982621,mitie,30
2,recall,0.7142857142857141,0.5625,0.5714285714285711,0.6666666666666661,0.75,0.827586206896551,0.636363636363636,0.9500000000000001,0.7096774193548381,0.8250000000000001,0.7213508214995971,0.7426160337552741,mitie,30
2,f1-score,0.7547169811320751,0.5806451612903221,0.6666666666666661,0.75,0.75,0.813559322033898,0.777777777777777,0.826086956521739,0.758620689655172,0.7096774193548381,0.7387750974432491,0.741549583252407,mitie,30
3,precision,0.74074074074074,0.5625,0.75,0.75,0.69047619047619,0.678571428571428,0.8571428571428571,0.8095238095238091,0.8064516129032251,0.6756756756756751,0.7321082315033921,0.7243064342220461,mitie,30
3,recall,0.7142857142857141,0.5625,0.7142857142857141,0.6666666666666661,0.9062500000000001,0.6551724137931031,0.5454545454545451,0.85,0.8064516129032251,0.625,0.704606666738896,0.7215189873417721,mitie,30
3,f1-score,0.7272727272727271,0.5625,0.73170731707317,0.7058823529411761,0.7837837837837831,0.6666666666666661,0.6666666666666661,0.829268292682926,0.8064516129032251,0.649350649350649,0.7129550069340991,0.7189433365994761,mitie,30
1,precision,0.72,0.5,0.8571428571428571,0.6666666666666661,0.675,0.628571428571428,1.0,0.7619047619047611,0.75,0.6875,0.7246785714285711,0.7129817158931081,mitie,50
1,recall,0.642857142857142,0.5625,0.5714285714285711,0.6666666666666661,0.8437500000000001,0.758620689655172,0.636363636363636,0.8,0.8709677419354831,0.55,0.6903154448906671,0.70042194092827,mitie,50
1,f1-score,0.6792452830188671,0.529411764705882,0.685714285714285,0.6666666666666661,0.75,0.6875,0.777777777777777,0.780487804878048,0.8059701492537311,0.611111111111111,0.697388484312637,0.697982223140291,mitie,50
2,precision,0.5882352941176471,0.384615384615384,0.8125,0.833333333333333,0.769230769230769,0.7333333333333331,0.7142857142857141,0.8,0.769230769230769,0.5423728813559321,0.6947137479502881,0.6855156018089681,mitie,50
2,recall,0.7142857142857141,0.3125,0.6190476190476191,0.555555555555555,0.625,0.758620689655172,0.45454545454545403,0.8,0.6451612903225801,0.8,0.6284716323412091,0.6666666666666661,mitie,50
2,f1-score,0.6451612903225801,0.344827586206896,0.7027027027027021,0.6666666666666661,0.689655172413793,0.745762711864406,0.555555555555555,0.8,0.701754385964912,0.6464646464646461,0.649855071816216,0.665648444561256,mitie,50
3,precision,0.5,0.555555555555555,0.6666666666666661,1.0,0.6410256410256411,0.56,1.0,0.8888888888888881,0.7272727272727271,0.6410256410256411,0.718043512043512,0.6734429002783431,mitie,50
3,recall,0.678571428571428,0.625,0.6666666666666661,0.11111111111111101,0.7812500000000001,0.482758620689655,0.45454545454545403,0.8,0.7741935483870961,0.625,0.5999096829971411,0.645569620253164,mitie,50
3,f1-score,0.575757575757575,0.5882352941176471,0.6666666666666661,0.199999999999999,0.704225352112676,0.518518518518518,0.625,0.842105263157894,0.7500000000000001,0.632911392405063,0.610342006273604,0.6379273674729851,mitie,50
1,precision,0.7142857142857141,0.6000000000000001,0.529411764705882,0.375,0.68,0.542857142857142,1.0,0.6666666666666661,0.5666666666666661,0.37974683544303806,0.6054634790625111,0.585170369702118,mitie,70
1,recall,0.17857142857142802,0.5625,0.42857142857142805,0.33333333333333304,0.53125,0.6551724137931031,0.27272727272727204,0.6000000000000001,0.5483870967741931,0.75,0.48605129737707603,0.523206751054852,mitie,70
1,f1-score,0.28571428571428503,0.5806451612903221,0.47368421052631504,0.35294117647058804,0.5964912280701751,0.593749999999999,0.42857142857142805,0.631578947368421,0.557377049180327,0.504201680672268,0.500495516786413,0.512714140511872,mitie,70
2,precision,0.375,0.33333333333333304,0.583333333333333,0.0,0.5945945945945941,0.5,0.75,0.5789473684210521,0.72,0.433333333333333,0.486854196301564,0.510939413764197,mitie,70
